DenoiserType,Parameter,ImageIndex,Channel,PSNR,SI-PSNR,SSIM,Runtime
BM3D,0.1,001,0,22.56195237349564,31.543358518976923,0.7445241593111145,3.9097678661346436
BM3D,0.1,002,0,39.72724576165707,40.18599595489171,0.9708910208185136,4.409792184829712
BM3D,0.1,003,0,38.8839377393111,38.96608468595587,0.9711886423757111,4.023124933242798
BM3D,0.1,004,0,35.07294538942216,38.10163330570323,0.945685132868987,4.247457027435303
BM3D,0.1,005,0,32.74828990009193,35.83580023997593,0.9133147230455544,3.740727186203003
BM3D,0.1,006,0,28.512518865315833,33.09314074683536,0.8644759659847966,3.5885801315307617
BM3D,0.1,007,0,26.667651628963135,33.98124062877379,0.8684513425504933,3.855959177017212
BM3D,0.1,008,0,31.88124753268479,33.72596023910215,0.9013600243022336,3.597477912902832
BM3D,0.1,009,0,26.833461689244995,33.24124614713419,0.8616998796472134,3.984441041946411
BM3D,0.1,010,0,24.858196121377315,32.88104491175594,0.8402585855635419,3.9058358669281006
BM3D,0.1,011,0,25.63848776605528,35.882148970561175,0.8355820282060903,3.909874200820923
BM3D,0.1,012,0,29.041598989954984,34.15354588654745,0.9002393653925425,4.007596731185913
BM3D,0.1,013,0,29.624732992370127,31.05556657037592,0.856476033609979,3.635887861251831
BM3D,0.1,014,0,24.63635280333188,34.230434250716456,0.8380768872153719,3.666590929031372
BM3D,0.1,015,0,28.670356871728853,34.95876554883412,0.8751351947611151,3.719403028488159
BM3D,0.1,016,0,28.510568591190903,33.18657129046277,0.8833913855076397,3.5897300243377686
BM3D,0.1,017,0,24.988799371089062,31.376490142837365,0.8118361969648692,3.810819149017334
BM3D,0.1,018,0,30.697821525266153,35.65955238254975,0.902683382201888,3.7395968437194824
BM3D,0.1,019,0,34.75938579976529,35.64152436619254,0.9118216382275947,3.5641119480133057
BM3D,0.1,020,0,22.34568882080257,29.20675162568103,0.7295638279304355,3.757327079772949
BM3D,0.1,021,0,20.009367737502988,29.529980173320244,0.6904979641595448,3.76806902885437
BM3D,0.1,022,0,32.31271078952687,34.90493124692862,0.916945094120352,3.667738199234009
BM3D,0.1,023,0,29.469349480441966,35.40870058720092,0.8959341228162689,3.797517776489258
BM3D,0.1,024,0,30.86500676564021,33.57737820928178,0.8669379127820742,3.6159732341766357
BM3D,0.1,025,0,34.66705422556528,35.9193319145392,0.9307437640373002,3.6742331981658936
BM3D,0.1,026,0,36.39870689470125,37.11363298114024,0.9537293128167784,4.092469930648804
BM3D,0.1,027,0,39.06181591674716,39.35485455377001,0.969351097095101,3.783243179321289
BM3D,0.1,028,0,36.57085651154848,36.63489882560793,0.9534139910497906,3.939333200454712
BM3D,0.1,029,0,31.704898659941534,34.874588867779075,0.9288257214321102,4.249629974365234
BM3D,0.1,030,0,32.54974586549015,35.673399603932,0.939186485076334,4.0109169483184814
BM3D,0.1,031,0,36.6272821247201,37.181352490579194,0.9416922405157738,4.023828983306885
BM3D,0.1,032,0,33.928782850214915,35.08224550014432,0.9310537200106639,3.81880784034729
