DenoiserType,Parameter,ImageIndex,Channel,PSNR,SI-PSNR,SSIM
BM3D,0.05,001,1,14.748741097268113,19.77777374980046,0.44026791348866284
BM3D,0.1,001,1,26.864452223399038,31.03748576731878,0.7729069545561019
BM3D,0.15,001,1,23.42250938625277,31.470862538951234,0.794612738838182
BM3D,0.05,002,1,30.8061984233045,39.5547690589453,0.9593262185899231
BM3D,0.1,002,1,42.18437889809714,42.39324130262811,0.9779723493335466
BM3D,0.15,002,1,40.925929600863576,41.77767052175564,0.9750495902380281
BM3D,0.05,003,1,17.47717462312088,23.82486440936791,0.5584069958434423
BM3D,0.1,003,1,30.39831697344968,31.394234993435994,0.8347226979280384
BM3D,0.15,003,1,29.74406095167982,30.632674453805947,0.8165326155221362
BM3D,0.05,004,1,18.273969861616763,25.3418848423745,0.6328026206844767
BM3D,0.1,004,1,26.820868025890533,34.00319111894442,0.8630094863843533
BM3D,0.15,004,1,32.726709698397734,33.598319787864234,0.8744246882331201
BM3D,0.05,005,1,23.138474210202126,25.483078363299462,0.699026132776503
BM3D,0.1,005,1,34.03835076531087,34.637915541022394,0.9058246540562565
BM3D,0.15,005,1,30.644182200834706,34.3191531521285,0.8982333132743254
BM3D,0.05,006,1,14.777674649981838,20.23357762325032,0.4177607180519178
BM3D,0.1,006,1,25.231350612133753,29.77685126991988,0.7458354514556591
BM3D,0.15,006,1,27.466849936781742,29.636109212240708,0.7496466942595582
BM3D,0.05,007,1,26.513386840258534,34.941874033479785,0.8997417790946273
BM3D,0.1,007,1,35.61641473746375,35.628054039631955,0.9071318842546423
BM3D,0.15,007,1,31.007772948188197,34.59762245095205,0.8874333632070249
BM3D,0.05,008,1,27.653728810882164,36.69240697611201,0.9167703854452498
BM3D,0.1,008,1,36.851669597738365,36.87744166024114,0.9269598195840162
BM3D,0.15,008,1,34.44349456106478,35.75860881690432,0.909144766312844
BM3D,0.05,009,1,24.094142916949018,28.053181977136884,0.7593297185384718
BM3D,0.1,009,1,33.92424314049488,34.014980370206466,0.8980669456031827
BM3D,0.15,009,1,32.565663124360015,32.999486701620334,0.8767143576075748
BM3D,0.05,010,1,25.171273203859066,31.238292154748045,0.843693915319808
BM3D,0.1,010,1,33.810058143226286,34.70972598802923,0.8990509507033887
BM3D,0.15,010,1,33.37373486578503,33.60536002545446,0.8794268491637112
