DenoiserType,Parameter,ImageIndex,Channel,PSNR,SI-PSNR,SSIM,Runtime
Gaussian,2,001,0,29.648420029544795,32.077812690826434,0.8510990346752657,0.008038997650146484
Gaussian,2,002,0,37.028924651196434,39.50340481766911,0.9409778089018467,0.005547046661376953
Gaussian,2,003,0,36.18739573888472,38.13416089308049,0.9540371978632173,0.00551295280456543
Gaussian,2,004,0,36.214909263579294,37.961767064540446,0.9466159830574372,0.00511622428894043
Gaussian,2,005,0,34.00957280846002,35.442454140267394,0.9377283151189838,0.0052967071533203125
Gaussian,2,006,0,32.287187679606944,33.425131122182094,0.8543620732834826,0.005300998687744141
Gaussian,2,007,0,31.84528981157946,34.44151624521504,0.8845067965075487,0.0055408477783203125
Gaussian,2,008,0,33.356486495099816,33.97068092328477,0.9008988488466577,0.005290031433105469
Gaussian,2,009,0,31.084191701358634,33.56103195947037,0.8603598584586433,0.004236936569213867
Gaussian,2,010,0,29.141808723418677,33.02413791065118,0.8608074436551036,0.004434823989868164
Gaussian,2,011,0,33.60989633395483,35.50969230930412,0.8843247497559136,0.007342100143432617
Gaussian,2,012,0,30.363582645572652,34.06575393071564,0.8774618889365272,0.0049991607666015625
Gaussian,2,013,0,25.86559237130681,31.57100872818933,0.8335417075321024,0.00547480583190918
Gaussian,2,014,0,32.54288799865346,34.24106158570343,0.872615090551887,0.00420689582824707
Gaussian,2,015,0,33.40097104530387,35.64490739803092,0.9159394513660922,0.004731178283691406
Gaussian,2,016,0,32.08026333317236,33.48211207633773,0.8695964809727363,0.004893302917480469
Gaussian,2,017,0,29.54086784879066,32.115636022563486,0.8581797803685738,0.003915071487426758
Gaussian,2,018,0,34.713565492515656,35.46563300711278,0.9296298996259081,0.004308223724365234
Gaussian,2,019,0,31.22715506808657,36.04593313665883,0.8769904633766554,0.004297971725463867
Gaussian,2,020,0,27.6561372251934,29.631200327974277,0.7571405892449826,0.0045490264892578125
Gaussian,2,021,0,27.36917785882961,29.885587733983535,0.7721971266625586,0.0043790340423583984
Gaussian,2,022,0,31.99638511736069,34.95954067517081,0.877998478970635,0.004337787628173828
Gaussian,2,023,0,31.518648616362512,35.56165438970726,0.8981319409499058,0.004403829574584961
Gaussian,2,024,0,29.29269558279136,33.4903286099849,0.9087508491024094,0.004942178726196289
Gaussian,2,025,0,23.18853894243785,35.6779301653234,0.7567426782145871,0.004069805145263672
Gaussian,2,026,0,35.23080673678911,36.48448799514979,0.9456148103472505,0.00477910041809082
Gaussian,2,027,0,35.24901590865757,37.848267132544706,0.9485151408349723,0.00453495979309082
Gaussian,2,028,0,29.873661536490367,35.932445081726215,0.9271522199538145,0.004553079605102539
Gaussian,2,029,0,27.622502944806904,34.98788526490663,0.8754366008631761,0.004911184310913086
