DenoiserType,Parameter,ImageIndex,Channel,PSNR,SI-PSNR,SSIM
Gaussian,2,001,2,29.588515794030418,30.51629028294299,0.7107066996102618
Gaussian,5,001,2,29.094854894106923,34.40209192449106,0.8692693548936682
Gaussian,8,001,2,26.3419432048413,33.06724327458338,0.8536171470432611
Gaussian,2,002,2,33.21525833656027,39.00631074244227,0.9190881744322621
Gaussian,5,002,2,26.122710247641884,37.11277552684235,0.9499205937450799
Gaussian,8,002,2,20.88164078667883,33.72572634397612,0.914211898208406
Gaussian,2,003,2,34.95801694631086,38.48607344719667,0.9279143021554945
Gaussian,5,003,2,30.003790818414743,36.90095425595261,0.9432520355430233
Gaussian,8,003,2,25.986736333479943,32.94392132044126,0.9130279074727391
Gaussian,2,004,2,30.536097952200013,30.82535837612539,0.7508226455014807
Gaussian,5,004,2,28.427430392254557,33.3048830178728,0.8825124006399231
Gaussian,8,004,2,22.74997773803081,31.210408695366866,0.8635585030538228
Gaussian,2,005,2,30.93755215653274,31.05566677571971,0.7577484923580611
Gaussian,5,005,2,26.482070820372307,32.33666572471934,0.8770769150297875
Gaussian,8,005,2,21.19547276004382,29.490123948209877,0.8389419330002985
Gaussian,2,006,2,27.641922678038874,29.61450465227027,0.6665617038705501
Gaussian,5,006,2,18.99459469480313,31.531266603610582,0.7733991502590093
Gaussian,8,006,2,15.45429685242383,29.625229754166735,0.732108469209977
Gaussian,2,007,2,34.335550641047384,40.61610463525519,0.9559539860632145
Gaussian,5,007,2,23.31576544264461,33.02461467513775,0.8663831483993022
Gaussian,8,007,2,18.47136986961523,29.591154024955895,0.7335428296259069
Gaussian,2,008,2,32.71536773263933,40.593684735855895,0.9486943012668337
Gaussian,5,008,2,23.74602370691681,32.63833922803464,0.8890144254808471
Gaussian,8,008,2,18.727254946663297,28.574561021461605,0.7757080120308774
Gaussian,2,009,2,37.19483762021079,39.221165274818276,0.9435525042209312
Gaussian,5,009,2,28.514716436670543,32.74402553826215,0.9202312048306808
Gaussian,8,009,2,22.351792864095952,28.910491532604667,0.8400813376247128
Gaussian,2,010,2,39.73976500383769,41.67273780928469,0.9627163571109517
Gaussian,5,010,2,30.064586753874405,37.37638628566704,0.9405173236599692
Gaussian,8,010,2,26.22657840543823,34.249158517605764,0.90010420276312
Gaussian,2,011,2,31.55590533596864,38.65062243419796,0.9019198969413335
Gaussian,5,011,2,22.29788290643594,36.12786789938072,0.9177461214125685
Gaussian,8,011,2,17.594304845651493,32.3880965285726,0.850937647709505
Gaussian,2,012,2,32.90400697660004,42.36127682626722,0.9545598904678275
Gaussian,5,012,2,25.522159251086833,36.41217300225314,0.8914186575498799
Gaussian,8,012,2,22.78238804750204,33.85336563189331,0.8294946971781599
Gaussian,2,013,2,34.11085923813157,35.92309150766954,0.8974196888980388
Gaussian,5,013,2,22.84198741402994,33.07331239670505,0.8867609861448805
Gaussian,8,013,2,18.094800213598134,29.645539443639272,0.8180161322120927
Gaussian,2,014,2,33.06246150220672,39.39749132175871,0.9041295933039546
Gaussian,5,014,2,23.710325767667427,32.94191432209298,0.8787042585331648
Gaussian,8,014,2,19.22451866934238,29.705126968151387,0.8082254466484979
Gaussian,2,015,2,32.49409605974082,37.18035962238464,0.8922876492174532
Gaussian,5,015,2,23.527884844201242,35.33279435956909,0.9166908218379661
Gaussian,8,015,2,18.680443494781983,30.89536500732909,0.8481754572720691
Gaussian,2,016,2,37.10483020567623,39.48875123142309,0.9481302986751113
Gaussian,5,016,2,28.553679732690973,34.87827938437415,0.9287098474601246
Gaussian,8,016,2,22.868746025613422,30.979347826784384,0.8653002324263015
Gaussian,2,017,2,27.37819801676908,27.420141975619998,0.5972028391655974
Gaussian,5,017,2,28.57977709612065,31.115600856506525,0.7583082895780533
Gaussian,8,017,2,26.217142972905066,30.207317291394244,0.7330462750792314
Gaussian,2,018,2,27.239601961274268,29.471093794780273,0.6528899363212586
Gaussian,5,018,2,26.938478836054124,33.04520018300359,0.8065803599768294
Gaussian,8,018,2,25.624248762508557,32.17206605985906,0.7877359882386832
Gaussian,2,019,2,32.56516398987004,36.735224059211774,0.8722068090042402
Gaussian,5,019,2,24.614927298340376,32.738163470228976,0.8622142144167757
Gaussian,8,019,2,19.561403880276593,29.396167868195846,0.7827601231825346
Gaussian,2,020,2,28.847912103457528,30.57677979917669,0.7272292934810349
Gaussian,5,020,2,25.557504818626583,30.32263469011849,0.7586845176170429
Gaussian,8,020,2,24.795125557843043,28.97176143868451,0.7354233958128953
Gaussian,2,021,2,29.20229268259309,30.497159664035493,0.7110958819406139
Gaussian,5,021,2,27.90942042012098,32.58687745099627,0.8265197974525226
Gaussian,8,021,2,26.699019273786625,31.030616627266603,0.80874585447094
Gaussian,2,022,2,31.998879072505257,32.26076717291922,0.782712447759919
Gaussian,5,022,2,30.443402971989833,35.19716080261232,0.8894081224865783
Gaussian,8,022,2,27.113426999839547,33.874656661438266,0.8760699413610109
Gaussian,2,023,2,28.847656937640814,36.799815629974404,0.8494907246198122
Gaussian,5,023,2,27.21415828246205,35.736981492841686,0.9035093050475814
Gaussian,8,023,2,25.932277135631693,33.32859775728582,0.8807350443446241
Gaussian,2,024,2,21.75264187970032,34.749468280639306,0.7281610132259512
Gaussian,5,024,2,16.01552730379133,33.05037185700534,0.7736739959557006
Gaussian,8,024,2,14.370746730776178,31.04163588916682,0.7503855232831542
Gaussian,2,025,2,26.959418377830033,29.569668421250267,0.6553277248800559
Gaussian,5,025,2,26.7906559324775,31.846500812969303,0.8094523422640897
Gaussian,8,025,2,25.76153581934408,30.366473839886766,0.7917440971549757
Gaussian,2,026,2,33.05563716299121,33.42128173545199,0.8364111565329451
Gaussian,5,026,2,22.92960126694841,32.873905771216904,0.886975891955408
Gaussian,8,026,2,17.768737884766573,29.624088231955565,0.8307756111732346
Gaussian,2,027,2,28.807259709280576,37.36115315670484,0.8710425481550274
Gaussian,5,027,2,20.601968432100822,32.645810049979474,0.8349566645398144
Gaussian,8,027,2,16.69389103263938,30.091687529125917,0.743171351303151
Gaussian,2,028,2,30.4578706084552,38.9336553988291,0.9163222259527534
Gaussian,5,028,2,21.0970499558723,32.15515942178119,0.8703783771126051
Gaussian,8,028,2,17.046326466617625,28.16807214140062,0.7754274960735167
Gaussian,2,029,2,27.246699944430794,36.28063427132834,0.8295692962451063
Gaussian,5,029,2,18.078052352582404,29.81332453047505,0.7658881186962233
Gaussian,8,029,2,15.440192875133903,27.2013926841409,0.6892439817720385
Gaussian,2,030,2,27.307577610856598,34.293842153748,0.8277305662500225
Gaussian,5,030,2,22.44385522777438,31.775694120985854,0.863896423803414
Gaussian,8,030,2,17.6187482571235,28.46460920374255,0.7934623361667394
Gaussian,2,031,2,31.717516439229275,32.607714024584915,0.8063042999175065
Gaussian,5,031,2,30.39232390741762,32.16777612848912,0.823918687266866
Gaussian,8,031,2,27.041222204152945,30.270334741925247,0.7838670690306004
Gaussian,2,032,2,32.89899965100716,34.048880165296225,0.8676510461833522
Gaussian,5,032,2,21.543019222708445,30.675569236837962,0.7866141348256985
Gaussian,8,032,2,16.548255210955247,28.823677655997404,0.6920487909316541
Gaussian,2,033,2,26.545671211824846,32.847445610522065,0.7995048884367901
Gaussian,5,033,2,21.753207982732235,30.319915971873954,0.8285423120341351
Gaussian,8,033,2,19.321510849672606,28.49125362614113,0.7848439986103899
Gaussian,2,034,2,32.18064803112105,32.43526999571819,0.8271790613495271
Gaussian,5,034,2,26.954072851579983,30.805820923950034,0.8806503958122404
Gaussian,8,034,2,23.913772179087623,28.35153924251527,0.8407181407586228
Gaussian,2,035,2,24.240174879180785,37.57251223025425,0.8410774747047028
Gaussian,5,035,2,16.83305317715816,33.86527250157183,0.8353257430773675
Gaussian,8,035,2,13.7390400786189,31.186608735210832,0.7575967634105456
Gaussian,2,036,2,31.916207982256207,39.96133098248929,0.9430143223965606
Gaussian,5,036,2,22.23911352608763,32.29059081264184,0.8629139308698605
Gaussian,8,036,2,18.91051283355782,28.892755632403993,0.7701058907699215
Gaussian,2,037,2,33.61482323346025,39.64633088454566,0.9478423906520561
Gaussian,5,037,2,22.52725408484034,32.758428028417995,0.8761958568091808
Gaussian,8,037,2,19.45150266100255,29.05748285170279,0.7985454183098025
Gaussian,2,038,2,36.60124053639667,38.080792173612615,0.9113046922628014
Gaussian,5,038,2,27.717778101712938,35.45486086643247,0.9334622330637443
Gaussian,8,038,2,21.21078204384385,30.998409513593156,0.8694901251132514
Gaussian,2,039,2,29.85781947782184,36.02860706914363,0.8882844695491882
Gaussian,5,039,2,23.54197175967874,32.117904094767546,0.852471452633702
Gaussian,8,039,2,19.86963983558985,29.481434677806536,0.7804707663733734
Gaussian,2,040,2,37.8268939686093,41.935089829153,0.9700675204686396
Gaussian,5,040,2,30.666197794248134,35.84311329521914,0.9515655791360289
Gaussian,8,040,2,26.060213135148267,31.552380151439884,0.9016263414131139
Gaussian,2,041,2,30.748851535326807,38.380984503355776,0.9153748663238657
Gaussian,5,041,2,21.18481410041706,31.77007565516746,0.8463348431745642
Gaussian,8,041,2,17.155387036773075,28.882435890505512,0.7523129076421018
Gaussian,2,042,2,30.206703944389165,34.911861703353836,0.8628759867221906
Gaussian,5,042,2,18.356138226541454,31.08337820154469,0.7814483058141473
Gaussian,8,042,2,16.344313879676818,28.47313827910577,0.7114449425299023
Gaussian,2,043,2,32.216105194512544,33.114402919284906,0.8308081861991307
Gaussian,5,043,2,25.501561873919027,32.88113055763172,0.887261622955001
Gaussian,8,043,2,20.65508710503653,29.60495857115973,0.8413151795768219
Gaussian,2,044,2,38.380277675868875,42.514177858107146,0.9589245021400532
Gaussian,5,044,2,28.92019744433473,37.22321108874365,0.9428012510137465
Gaussian,8,044,2,23.275363293254294,33.073850395328506,0.8761813125538936
Gaussian,2,045,2,27.23367138129681,33.493693148081746,0.8058376004672863
Gaussian,5,045,2,19.71640914484681,31.028261263771284,0.8264325573442782
Gaussian,8,045,2,17.835523867315114,28.29780360543562,0.765665202187556
Gaussian,2,046,2,29.713608142581776,36.21960166590967,0.8687388158127689
Gaussian,5,046,2,21.80593048179187,31.670919310946584,0.8444133076952588
Gaussian,8,046,2,16.82763472109511,28.646881475209632,0.7422679803740683
Gaussian,2,047,2,31.812350894505972,36.31954303810638,0.8545002850085965
Gaussian,5,047,2,27.19263786151339,32.36462276440042,0.9112040784721993
Gaussian,8,047,2,23.193685397465636,29.310853528109064,0.8646665311862755
Gaussian,2,048,2,30.864608229047494,36.00089395635736,0.8691150161752206
Gaussian,5,048,2,21.23356403297519,32.72919969532015,0.8839268093535785
Gaussian,8,048,2,16.208627650937743,29.900427718493454,0.8006032622434283
Gaussian,2,049,2,29.535764585550773,36.72758701396708,0.8841643078514012
Gaussian,5,049,2,22.11982633258378,32.349099307066226,0.8766203246076762
Gaussian,8,049,2,17.854826748479567,29.8148306950486,0.8019644478229946
Gaussian,2,050,2,31.612285757975,37.96206564862154,0.8691505850864888
Gaussian,5,050,2,24.612893729887638,32.88684943645648,0.8586391807183418
Gaussian,8,050,2,19.525023126554043,30.02483181400305,0.7573051102904621
Gaussian,2,051,2,25.98262342981176,32.69065801367105,0.7618179296655332
Gaussian,5,051,2,18.323125509785495,30.606443746138034,0.7317586183707414
Gaussian,8,051,2,15.874111501482794,28.507268495970482,0.667309241084455
Gaussian,2,052,2,24.005719007031278,25.756775902061946,0.5321051875546255
Gaussian,5,052,2,18.539042973790593,26.972097833382975,0.6071657462565436
Gaussian,8,052,2,15.271415018472679,25.62912558874163,0.54341239136237
Gaussian,2,053,2,20.781688403853575,32.71092516343847,0.6268328588569146
Gaussian,5,053,2,14.232086932537698,31.79213506016967,0.6175700654067957
Gaussian,8,053,2,13.500372072023284,30.254025464878175,0.6366955437980124
Gaussian,2,054,2,37.06691590412561,38.849713182837675,0.934127909656051
Gaussian,5,054,2,25.082337679785983,33.42854164327585,0.878839722616949
Gaussian,8,054,2,19.804161463148084,30.1246868169922,0.7726072624542429
Gaussian,2,055,2,35.2431931303297,41.68180809410725,0.912330464618445
Gaussian,5,055,2,27.15471658041111,37.02519266526386,0.9123055693139279
Gaussian,8,055,2,22.121223258845934,33.48194662717316,0.8346997347460834
Gaussian,2,056,2,21.85112911317768,25.316123611246933,0.45771830426677584
Gaussian,5,056,2,19.534433720023717,27.122373026013765,0.6003837121455259
Gaussian,8,056,2,17.03110892250281,26.13340462020494,0.5666591849061241
