DenoiserType,Parameter,ImageIndex,Channel,PSNR,SI-PSNR,SSIM,Runtime
Noise2Noise,{},001,1,21.205045781853475,32.50751636381474,0.8235796488123369,4.861582040786743
Noise2Noise,{},002,1,43.375284326262985,43.475014717039436,0.983735771539922,4.830857038497925
Noise2Noise,{},003,1,30.910063418922338,32.255934282511916,0.8720378889541694,4.8756959438323975
Noise2Noise,{},004,1,28.65438715122329,35.043375501780496,0.8774224387644748,4.86132025718689
Noise2Noise,{},005,1,31.483463183914758,35.746611751110194,0.9231778252550352,4.765676021575928
Noise2Noise,{},006,1,29.058731050561487,30.898572476714364,0.7968567192088258,4.839241027832031
Noise2Noise,{},007,1,37.353183866462075,37.434950905566076,0.9426897691801887,4.873410701751709
Noise2Noise,{},008,1,38.425327816074144,38.60973585165189,0.9533367232346607,4.891125917434692
Noise2Noise,{},009,1,34.7271623004647,34.97211541442315,0.9191352170361013,4.88089394569397
Noise2Noise,{},010,1,35.7237735963514,36.07240889352431,0.9298453057027394,4.9922871589660645
Noise2Noise,{},011,1,31.309449214520605,37.22537078402749,0.9379601881556647,4.889071226119995
Noise2Noise,{},012,1,37.78896696707048,38.65908561697809,0.950019350883514,5.291856050491333
Noise2Noise,{},013,1,36.401583902674695,36.81313265025484,0.9244273127961427,5.393510103225708
Noise2Noise,{},014,1,35.9205037272561,36.58035601610195,0.9311414308382385,5.458331823348999
Noise2Noise,{},015,1,34.46474854497516,36.540519602612676,0.9415158078480823,5.153739929199219
Noise2Noise,{},016,1,29.88158778214416,33.49687594223748,0.8819608408235144,5.469362258911133
Noise2Noise,{},017,1,27.938204205293587,32.628844487048255,0.8332216092718685,5.059012174606323
Noise2Noise,{},018,1,28.174355989008035,33.33159355984194,0.8350416918795244,5.288161754608154
Noise2Noise,{},019,1,28.361148477432497,34.277439036895515,0.8875793759067483,5.027116775512695
Noise2Noise,{},020,1,28.41490699009033,32.797748307515526,0.8431893124678956,4.995944976806641
Noise2Noise,{},021,1,27.992821636697897,32.01210808586972,0.8456084240769366,5.0228049755096436
Noise2Noise,{},022,1,28.01716555061391,31.25079296780314,0.8168484993365923,4.960866212844849
Noise2Noise,{},023,1,29.444108317344234,30.288378557661545,0.767276763137416,5.144669055938721
Noise2Noise,{},024,1,30.908088181582876,36.91537929373308,0.9058133334331493,4.752448081970215
Noise2Noise,{},025,1,28.392485927798393,35.7360943919321,0.8723936521634881,5.042737722396851
Noise2Noise,{},026,1,27.65910837775083,35.971403815410504,0.9150384506850371,5.299012660980225
Noise2Noise,{},027,1,34.46452470784968,35.304151672220705,0.9132427064511079,4.993218898773193
Noise2Noise,{},028,1,29.665497759341765,33.53083275858132,0.8653601452824206,4.795258283615112
Noise2Noise,{},029,1,37.789305659258865,38.08330623818996,0.9271925753647927,4.84971284866333
Noise2Noise,{},030,1,26.458377311148944,33.36968878842936,0.8728853603483088,4.8684470653533936
Noise2Noise,{},031,1,30.748575089786286,31.030893075492273,0.8086677094786145,5.262183904647827
Noise2Noise,{},032,1,31.993455994871308,32.7134713125845,0.8469606906498359,4.773778915405273
Noise2Noise,{},033,1,29.709721813298376,37.62028213321469,0.9318144406151289,4.8160130977630615
Noise2Noise,{},034,1,33.88662740676875,36.95672809688992,0.930413782566314,4.85078501701355
Noise2Noise,{},035,1,33.94894695560586,38.52379498848962,0.9483643599198739,4.738970994949341
Noise2Noise,{},036,1,23.170160374018252,35.01704897226089,0.8899525650758653,4.768881797790527
Noise2Noise,{},037,1,24.798278663570343,34.83020767987474,0.8914843847052176,4.781423091888428
Noise2Noise,{},038,1,29.761614411607408,32.77330917507329,0.8895112721552971,4.861630916595459
