DenoiserType,Parameter,ImageIndex,Channel,PSNR,SI-PSNR,SSIM,Runtime
Wavelet,{},001,0,20.911558513992752,21.827994167800014,0.5359863166680833,0.020479917526245117
Wavelet,{},002,0,24.345965883936962,27.291666223550045,0.7060303598944411,0.00978398323059082
Wavelet,{},003,0,26.091975543370147,28.18992913188708,0.7347003872169239,0.011676788330078125
Wavelet,{},004,0,24.64234350257119,26.91304176053994,0.725582145374162,0.011090993881225586
Wavelet,{},005,0,21.044693820659504,24.933558438872552,0.7073317375960086,0.011163949966430664
Wavelet,{},006,0,21.413003140037567,22.988380122979816,0.5630839369845996,0.01132512092590332
Wavelet,{},007,0,22.66329571724529,23.858275056064528,0.5911727022616005,0.015115976333618164
Wavelet,{},008,0,18.910187032420936,22.2953030750513,0.5994765950152714,0.010522842407226562
Wavelet,{},009,0,22.529678958348747,23.46522279561058,0.5664808366683104,0.010382890701293945
Wavelet,{},010,0,20.48591003642453,23.623709697346772,0.6261410126250925,0.009490251541137695
Wavelet,{},011,0,20.983633874298455,23.22515129780884,0.6013435353709644,0.009772062301635742
Wavelet,{},012,0,21.72624203907033,23.66919431678538,0.5701335299666728,0.009240150451660156
Wavelet,{},013,0,20.588082767473495,22.159485939212754,0.5099712724943029,0.009904146194458008
Wavelet,{},014,0,19.94019022913185,22.388982541012904,0.6017414716249824,0.009244203567504883
Wavelet,{},015,0,23.062937023417227,23.962030516960837,0.6107992062407981,0.009363889694213867
Wavelet,{},016,0,18.78708349476443,21.546090312760345,0.5423210804154243,0.009572982788085938
Wavelet,{},017,0,18.82693884476047,20.520551513977754,0.5331325752120118,0.009367942810058594
Wavelet,{},018,0,24.0683729082,26.188787978605287,0.6861037599422859,0.009501934051513672
Wavelet,{},019,0,23.090056435774112,24.898923299769386,0.6607666099111358,0.010170221328735352
Wavelet,{},020,0,18.509690975019733,20.813762221242456,0.523345571857469,0.00916910171508789
Wavelet,{},021,0,19.275161771214705,20.389805335550232,0.47640087339620557,0.009941816329956055
Wavelet,{},022,0,23.47165911260108,25.250200192927608,0.5666390008203306,0.01042485237121582
Wavelet,{},023,0,23.335684660579837,25.197820891326028,0.6203788520277227,0.009768962860107422
Wavelet,{},024,0,20.483694119108105,22.989574859182078,0.6414855623778012,0.009230852127075195
Wavelet,{},025,0,26.297093580034392,26.49681783657452,0.5789897708201118,0.009582042694091797
Wavelet,{},026,0,23.857107980862516,26.47513323307542,0.6821622746845052,0.008864164352416992
Wavelet,{},027,0,25.621797668573908,27.90295549615038,0.7217026785852042,0.009216070175170898
Wavelet,{},028,0,23.733245105323732,25.661023681425984,0.6269408829419053,0.010541677474975586
Wavelet,{},029,0,22.540444591040625,23.695698086098986,0.587672355635747,0.009276151657104492
Wavelet,{},030,0,23.268021181664608,25.12112404659859,0.639009504823133,0.009351015090942383
Wavelet,{},031,0,28.271432883631483,28.72817706548247,0.6978162248913407,0.009763002395629883
Wavelet,{},032,0,23.16599610955823,25.47539247679911,0.6131120190082666,0.009268999099731445
Wavelet,{},033,0,24.7489990593855,28.02049976440938,0.7309282412706541,0.012667179107666016
Wavelet,{},034,0,21.7055289455246,23.615940960317666,0.5860941981924488,0.00875997543334961
Wavelet,{},035,0,24.39578753992624,27.746122350007493,0.7040004935779619,0.009435892105102539
Wavelet,{},036,0,24.96952600618691,26.780564699615915,0.6823769752961052,0.009629249572753906
Wavelet,{},037,0,24.969975479929197,26.091044788616003,0.6619848397224708,0.009618759155273438
Wavelet,{},038,0,34.101285249123045,34.353490384138404,0.7966098234819431,0.009270906448364258
Wavelet,{},039,0,23.078664064088375,26.268556821899832,0.7062664698352016,0.00884103775024414
Wavelet,{},040,0,25.5979852939716,28.19495970859514,0.7610563708715489,0.00967097282409668
Wavelet,{},041,0,23.30261343530584,24.943128573561513,0.6100657972289661,0.009282112121582031
Wavelet,{},042,0,24.14330874442115,26.7586183828989,0.7397716523952408,0.009569883346557617
Wavelet,{},043,0,24.31101942707621,26.08837236206152,0.6290631344498621,0.009358882904052734
Wavelet,{},044,0,25.639676561473877,27.26873518950439,0.6955291617933909,0.010798215866088867
Wavelet,{},045,0,21.0796158930776,23.396582638129097,0.6111026772707034,0.010381937026977539
Wavelet,{},046,0,20.467944233184387,22.522287562449197,0.6186607768258015,0.008421182632446289
Wavelet,{},047,0,26.059665093385075,26.6578786263319,0.5957349962401547,0.009891033172607422
Wavelet,{},048,0,26.66017105048288,29.367877030346328,0.7406716438193837,0.00872492790222168
Wavelet,{},049,0,24.423949361396268,24.968296396248,0.5115995708814902,0.010502815246582031
Wavelet,{},050,0,31.32433238879027,32.00445312751606,0.7282200040400099,0.009472131729125977
Wavelet,{},051,0,25.711946021848604,27.62098707033516,0.7057297028179763,0.011117219924926758
Wavelet,{},052,0,25.418183585633678,28.442143031996146,0.7828838849298203,0.010856151580810547
Wavelet,{},053,0,28.288153960844863,29.179006017221205,0.6780578270572272,0.01024317741394043
Wavelet,{},054,0,27.716898604549485,28.958921194309333,0.6961490247944987,0.010116100311279297
Wavelet,{},055,0,26.188811784164404,26.483544091878496,0.6179871157133937,0.010404825210571289
Wavelet,{},056,0,25.63160204865113,27.570242593731717,0.7147842318465836,0.010767936706542969
Wavelet,{},057,0,26.225132167169942,27.69171369098911,0.7117410549775076,0.011098861694335938
Wavelet,{},058,0,24.693188913001368,26.78185144064227,0.6978890246072078,0.011353254318237305
Wavelet,{},059,0,23.30372736361353,25.207444311979238,0.6048135351241672,0.011362075805664062
Wavelet,{},060,0,24.838437638001608,26.027232873298296,0.6483309346120769,0.013116836547851562
Wavelet,{},061,0,23.752628770508977,26.780887023217936,0.665733053238628,0.011471033096313477
Wavelet,{},062,0,22.306539015954463,26.748211004333676,0.680504433645387,0.1045379638671875
Wavelet,{},063,0,23.93314980119392,25.546202735421492,0.6460309344862937,0.012378692626953125
Wavelet,{},064,0,22.42976959489537,25.0639725271806,0.6377891642588199,0.01271677017211914
Wavelet,{},065,0,24.806712329242075,26.468725552053918,0.6593889566185881,0.010147809982299805
Wavelet,{},066,0,24.33734705169705,25.754781353981194,0.6021840782510463,0.012176036834716797
Wavelet,{},067,0,26.993753318898257,27.773630085906838,0.6582518986740978,0.011259078979492188
Wavelet,{},068,0,25.485153601475087,26.675092757608013,0.6254576658454919,0.011219978332519531
Wavelet,{},069,0,23.846973865383422,25.166808313922115,0.6693844642843583,0.027181148529052734
Wavelet,{},070,0,25.889277786870764,27.628445191152533,0.7032806039057043,0.014890909194946289
Wavelet,{},071,0,24.690753025966366,26.796793670943494,0.6618845086955513,0.011217832565307617
Wavelet,{},072,0,22.458756488965022,24.473947583570187,0.6441028262794634,0.010271072387695312
Wavelet,{},073,0,24.138326011648523,25.204496339799917,0.6480744803443089,0.010966062545776367
Wavelet,{},074,0,20.65508040847559,21.53458322723928,0.4925666025366042,0.011948108673095703
Wavelet,{},075,0,24.902493032369385,24.982331238224226,0.5072252194668917,0.01027679443359375
Wavelet,{},076,0,22.56657912233354,25.15095173845237,0.6239953252614643,0.010679244995117188
Wavelet,{},077,0,24.654667376678372,26.51930064391565,0.6670921726257792,0.011730194091796875
Wavelet,{},078,0,20.269140932386854,21.55080502944703,0.5371814654662745,0.011011838912963867
Wavelet,{},079,0,22.819340328262577,24.58938640917595,0.6430913973436012,0.009838104248046875
Wavelet,{},080,0,22.138577897498678,25.35387692101522,0.6874451442398493,0.01130223274230957
Wavelet,{},081,0,20.42563247037013,24.111965592492428,0.653815696789018,0.009897947311401367
Wavelet,{},082,0,21.005067567241618,22.83787113123951,0.5909821073935229,0.009046077728271484
Wavelet,{},083,0,23.0220280712053,26.95497258272208,0.7194753099239474,0.01015925407409668
Wavelet,{},084,0,24.517545397253286,26.634943054880353,0.7069928324429812,0.013356208801269531
Wavelet,{},085,0,26.74144365339079,29.488483538462805,0.7785574911872403,0.011070966720581055
Wavelet,{},086,0,21.92678602749947,24.856246746668248,0.7253353148253932,0.010685920715332031
Wavelet,{},087,0,24.23404104674414,25.34407110973134,0.6717350089483731,0.009530067443847656
Wavelet,{},088,0,20.445608604519407,23.4722922997922,0.6026446895514819,0.010408878326416016
Wavelet,{},089,0,21.00481286715803,21.947930254244646,0.5544823457048802,0.009968996047973633
Wavelet,{},090,0,25.457152622340608,25.814343069694896,0.5030225612040514,0.014010906219482422
Wavelet,{},091,0,22.386039521236064,24.61708149400203,0.6189254882087842,0.010540008544921875
Wavelet,{},092,0,20.87595840202722,22.931187458425466,0.6226439741519383,0.012135028839111328
Wavelet,{},093,0,20.743199346350405,23.421549973610766,0.6087392212236142,0.009751081466674805
Wavelet,{},094,0,24.108750518096915,25.077262165916725,0.6415732185572717,0.009597063064575195
Wavelet,{},095,0,22.605423794668873,24.885003011507678,0.6604813553847019,0.012490987777709961
Wavelet,{},096,0,22.46247185494545,23.966162836369907,0.6262752727598995,0.009602069854736328
Wavelet,{},097,0,25.964759885532086,26.39767504735252,0.6679382713350474,0.009231090545654297
Wavelet,{},098,0,23.59921889336421,25.803504366817474,0.7086683605370301,0.00849294662475586
Wavelet,{},099,0,24.91432956314515,27.84506803882598,0.7602297528149747,0.035430908203125
Wavelet,{},100,0,25.288573100386458,27.539587264795014,0.7476853470665095,0.009598970413208008
Wavelet,{},101,0,21.3381067093867,23.155414105113728,0.600531560865063,0.011318206787109375
Wavelet,{},102,0,22.23674140331247,24.886013086943052,0.6659336738832198,0.010581731796264648
Wavelet,{},103,0,28.112686823330066,28.55798123695672,0.6630215466039847,0.01311802864074707
Wavelet,{},104,0,24.372113065384134,26.046389886213067,0.6840556083708796,0.011476993560791016
Wavelet,{},105,0,23.65368405624944,26.931114604144845,0.7146757214084102,0.012300968170166016
Wavelet,{},106,0,21.857629170591544,22.970829092295677,0.5582789803393552,0.011958122253417969
Wavelet,{},107,0,24.685858100168737,28.081013583934826,0.7677109945394884,0.010589122772216797
Wavelet,{},108,0,21.310281506614807,23.211351758055482,0.6106772294842776,0.010668039321899414
Wavelet,{},109,0,22.31667602428024,23.82112452531825,0.6313160386472072,0.010041952133178711
Wavelet,{},110,0,25.093176275646062,26.715972638156266,0.7116649836865498,0.011389970779418945
Wavelet,{},111,0,24.280351060789975,25.800322360838113,0.6716559962087175,0.010204792022705078
Wavelet,{},112,0,26.805678903823594,27.969570145338132,0.6787846728843419,0.011590242385864258
Wavelet,{},113,0,23.77717768726138,24.98045552327553,0.6349891690396419,0.009917974472045898
Wavelet,{},114,0,23.958513311152288,25.067373850016725,0.6481463419583198,0.014999628067016602
Wavelet,{},115,0,25.463710456140547,27.046070966031973,0.7086859956233796,0.010582923889160156
Wavelet,{},116,0,22.961119012202605,24.470155034138102,0.6140953458989807,0.011284112930297852
Wavelet,{},117,0,25.67865443342687,26.76011942886717,0.6668791671428026,0.010016918182373047
Wavelet,{},118,0,19.83513049265816,22.12396678591022,0.5876768143205773,0.010931968688964844
Wavelet,{},119,0,21.639307970712608,24.035483629689477,0.6597639867111598,0.009647846221923828
Wavelet,{},120,0,21.254458680382978,22.994485010866207,0.6215939220133189,0.011516094207763672
