DenoiserType,Parameter,ImageIndex,Channel,PSNR,SI-PSNR,SSIM,Runtime,RAM Usage
Gaussian,sigma = 2.5,001,0,20.768464419378432,31.93094138981565,0.7869816229337447,0.011767148971557617,14.390625
Gaussian,sigma = 2.5,002,0,26.574184948320703,38.795391233047695,0.8433092255766709,0.00695490837097168,1.359375
Gaussian,sigma = 2.5,003,0,26.97884291107168,36.56726848972753,0.8551350731832266,0.004391193389892578,2.5
Gaussian,sigma = 2.5,004,0,25.92139025862446,37.37477103239271,0.8531512204414093,0.004023075103759766,0.546875
Gaussian,sigma = 2.5,005,0,23.69383584553312,34.19698471959514,0.8324180742716702,0.003991127014160156,2.5
Gaussian,sigma = 2.5,006,0,23.954848073687533,33.42954999790574,0.7173324760112016,0.004070281982421875,2.5
Gaussian,sigma = 2.5,007,0,23.49740084465403,34.39520267632218,0.8416710642086953,0.004191875457763672,0.0
Gaussian,sigma = 2.5,008,0,19.167758205342242,33.64313875134791,0.7695871759924224,0.003914356231689453,2.0
Gaussian,sigma = 2.5,009,0,22.117736795435974,33.45291628789949,0.8089369833326333,0.003885030746459961,0.0
Gaussian,sigma = 2.5,010,0,20.23449435109459,32.7362261396839,0.7863086080995061,0.003843069076538086,0.0
Gaussian,sigma = 2.5,011,0,22.226041228995783,35.904914167367366,0.846130172812364,0.004186868667602539,2.546875
Gaussian,sigma = 2.5,012,0,23.475451475354564,34.26228207009456,0.8020287759031054,0.004034996032714844,2.5
Gaussian,sigma = 2.5,013,0,20.658875502578972,31.760874092681473,0.7474074096824291,0.0038661956787109375,2.0
Gaussian,sigma = 2.5,014,0,20.96734124898952,34.34067683701641,0.8313052735891652,0.0038912296295166016,0.0
Gaussian,sigma = 2.5,015,0,23.61848961273484,35.33157927884078,0.8350232781212533,0.004136800765991211,0.0
Gaussian,sigma = 2.5,016,0,19.217875669115365,34.02319943420825,0.787327169630179,0.004277944564819336,0.0
Gaussian,sigma = 2.5,017,0,17.96465163289573,32.352270178292095,0.7852445380511578,0.0045549869537353516,0.609375
Gaussian,sigma = 2.5,018,0,24.74428827788159,34.226103713626564,0.8054106848685761,0.0053060054779052734,1.46875
Gaussian,sigma = 2.5,019,0,24.992042218481494,35.59956393205682,0.8366261273835361,0.007030963897705078,0.234375
Gaussian,sigma = 2.5,020,0,19.097371425108676,29.91831596777059,0.7114167156772809,0.006208896636962891,2.078125
Gaussian,sigma = 2.5,021,0,19.966652323357167,30.249934874701474,0.7374903183946926,0.0065059661865234375,2.953125
Gaussian,sigma = 2.5,022,0,23.917435216045895,34.59761873313762,0.7949564551229149,0.004237174987792969,1.15625
Gaussian,sigma = 2.5,023,0,23.45264192080562,35.08422148473832,0.8197703082580575,0.004047870635986328,0.25
Gaussian,sigma = 2.5,024,0,21.741927193174963,32.69672811107899,0.790253044200886,0.004050016403198242,2.0
Gaussian,sigma = 2.5,025,0,28.528160382480507,35.16170807301987,0.814889050963052,0.00415802001953125,0.0
Gaussian,sigma = 2.5,026,0,24.707292346285445,35.06693641336385,0.8173823874173051,0.003935098648071289,0.0
Gaussian,sigma = 2.5,027,0,26.96436361371727,36.41131321241757,0.8543191775904652,0.003901958465576172,0.0
Gaussian,sigma = 2.5,028,0,25.72959733717856,34.6363917308672,0.7862225322827552,0.004307985305786133,1.609375
Gaussian,sigma = 2.5,029,0,21.891972906343913,34.532526106570415,0.8210341270233912,0.003863096237182617,0.0
Gaussian,sigma = 2.5,030,0,21.421819427803506,33.528252380710974,0.7998518492371263,0.00386810302734375,0.0
Gaussian,sigma = 2.5,031,0,28.855079411623883,36.90352432105799,0.8551650586945385,0.004109859466552734,0.0
Gaussian,sigma = 2.5,032,0,25.421447325633775,34.90531968423634,0.7883391227651094,0.004730939865112305,0.0
Gaussian,sigma = 2.5,033,0,23.367643492839992,38.50497301355548,0.9136592014479407,0.004434823989868164,0.0
Gaussian,sigma = 2.5,034,0,20.94376392852425,35.26734254852594,0.8402880960113394,0.004148006439208984,0.0
Gaussian,sigma = 2.5,035,0,24.789982549690386,37.253142490825965,0.8716247761474198,0.0043909549713134766,0.0
Gaussian,sigma = 2.5,036,0,23.468529516306454,34.78693779061171,0.8464404941665615,0.004138946533203125,0.0
Gaussian,sigma = 2.5,037,0,22.72823458120139,34.19916860992417,0.8503583960561218,0.0042629241943359375,1.0
Gaussian,sigma = 2.5,038,0,38.36629946465243,41.1991738289109,0.9114754547005353,0.004153251647949219,0.0
Gaussian,sigma = 2.5,039,0,22.597350707699132,33.99285151288734,0.8220059304389257,0.004180192947387695,0.0
Gaussian,sigma = 2.5,040,0,26.65881176836795,34.200001429483095,0.8521078554454135,0.004282951354980469,0.5
Gaussian,sigma = 2.5,041,0,22.64794963300938,34.058437592351645,0.8246531092028287,0.00434422492980957,0.0
Gaussian,sigma = 2.5,042,0,24.48268268024676,32.588924323154814,0.8469591153549888,0.004483222961425781,2.5
Gaussian,sigma = 2.5,043,0,24.683719052879496,35.709428460069354,0.7739558998706743,0.0042760372161865234,0.0
Gaussian,sigma = 2.5,044,0,26.088479478163087,35.34786484785991,0.8434427720892911,0.004307746887207031,0.5
Gaussian,sigma = 2.5,045,0,21.59622524516339,33.54162896452432,0.817032977019897,0.004155158996582031,0.0
Gaussian,sigma = 2.5,046,0,20.376733821035785,31.838652145798388,0.8113337508230439,0.004179954528808594,0.0
Gaussian,sigma = 2.5,047,0,25.775781220608785,34.282959010491616,0.8116414748539261,0.0048711299896240234,2.484375
Gaussian,sigma = 2.5,048,0,29.45214379815345,38.01427962249057,0.9069152430011136,0.0044879913330078125,0.0
Gaussian,sigma = 2.5,049,0,26.221155735343167,35.601570369785065,0.7950845953055312,0.004243135452270508,2.5
Gaussian,sigma = 2.5,050,0,31.762275585891068,39.24863689809045,0.8415571071805688,0.004140138626098633,0.0
Gaussian,sigma = 2.5,051,0,26.007254020339424,35.77109963281217,0.8580456103824515,0.004232883453369141,2.0
Gaussian,sigma = 2.5,052,0,28.124493349336156,33.8109662823409,0.8446986556111257,0.004027843475341797,0.515625
Gaussian,sigma = 2.5,053,0,28.54043370388148,35.92108785378085,0.8450778547392791,0.004212856292724609,0.0
Gaussian,sigma = 2.5,054,0,29.199151959388722,36.36953307239491,0.7831209171366172,0.005027055740356445,0.96875
Gaussian,sigma = 2.5,055,0,28.223105627043836,36.51203783169071,0.8291264528190836,0.005177736282348633,3.0625
Gaussian,sigma = 2.5,056,0,25.993966524622852,34.55674122393782,0.8173838365713115,0.0044291019439697266,2.5
Gaussian,sigma = 2.5,057,0,26.78779980344022,35.38365503973055,0.8876748091049308,0.004325151443481445,2.5
Gaussian,sigma = 2.5,058,0,26.660616622766085,34.868281453259094,0.8128078684309822,0.0043849945068359375,2.484375
Gaussian,sigma = 2.5,059,0,22.029253041518455,35.71344848446749,0.834744866965334,0.004207134246826172,0.0
Gaussian,sigma = 2.5,060,0,26.151477124683304,33.55193099326846,0.7996233840705297,0.00403904914855957,0.0
Gaussian,sigma = 2.5,061,0,25.172458856460445,35.946081115291136,0.8238111235274787,0.004418134689331055,2.46875
Gaussian,sigma = 2.5,062,0,25.428940508575906,38.342465673756784,0.871408049461681,0.004316091537475586,2.25
Gaussian,sigma = 2.5,063,0,24.670847977890503,33.812325678921134,0.8268643167084159,0.004287004470825195,2.484375
Gaussian,sigma = 2.5,064,0,22.87899975413914,33.72253155389187,0.7960660688782409,0.004179954528808594,2.25
Gaussian,sigma = 2.5,065,0,24.84519708270377,36.45330063602128,0.8135539745213441,0.0042879581451416016,2.4375
Gaussian,sigma = 2.5,066,0,23.666204558344038,36.8788097542799,0.8420430006522605,0.004147052764892578,0.0
Gaussian,sigma = 2.5,067,0,27.070942848862913,35.02981902641362,0.7498695855772376,0.0042188167572021484,2.46875
Gaussian,sigma = 2.5,068,0,26.599626628599786,36.69341605369415,0.8138878226604372,0.004634857177734375,2.03125
Gaussian,sigma = 2.5,069,0,24.571320226443255,31.987479655937502,0.830375811699012,0.004279136657714844,1.96875
Gaussian,sigma = 2.5,070,0,26.137335034693905,37.10188364404509,0.8955984617613254,0.004389762878417969,2.5
Gaussian,sigma = 2.5,071,0,27.690934351405186,36.63005768310121,0.7896939916963422,0.004246234893798828,0.0
Gaussian,sigma = 2.5,072,0,22.942203462019602,33.120700088351484,0.8398538476356201,0.004579782485961914,2.5625
Gaussian,sigma = 2.5,073,0,24.312130559977895,32.12332039270856,0.7824394656788918,0.004363059997558594,1.546875
Gaussian,sigma = 2.5,074,0,20.85007392058276,30.19222245996939,0.7744890104982498,0.0038678646087646484,1.96875
Gaussian,sigma = 2.5,075,0,27.00031167185287,33.96171388165741,0.8421975293902246,0.003918170928955078,0.484375
Gaussian,sigma = 2.5,076,0,23.89568472287418,35.55005098775028,0.8081463293742452,0.004086732864379883,2.421875
Gaussian,sigma = 2.5,077,0,24.65774708813357,33.39484512511422,0.8097241296528565,0.004011869430541992,2.40625
Gaussian,sigma = 2.5,078,0,18.42829848493298,30.495688488397626,0.7147474073984874,0.003997802734375,1.96875
Gaussian,sigma = 2.5,079,0,24.219805836026023,34.14437429106453,0.832666639801327,0.0038650035858154297,0.546875
Gaussian,sigma = 2.5,080,0,23.27438252246886,33.588709849528335,0.8571922638089834,0.003887176513671875,1.96875
Gaussian,sigma = 2.5,081,0,18.67770479919773,34.63072550226031,0.8155171278301749,0.0039331912994384766,2.484375
Gaussian,sigma = 2.5,082,0,22.076690210804657,32.132112942885385,0.8131453020406398,0.0039060115814208984,0.5
Gaussian,sigma = 2.5,083,0,24.30326435564769,35.01079806779953,0.8676410832606368,0.004063129425048828,2.40625
Gaussian,sigma = 2.5,084,0,25.10895304276128,33.51835449578404,0.840100846416053,0.0038661956787109375,0.0
Gaussian,sigma = 2.5,085,0,27.777501191426058,35.847621282808134,0.8860996821940788,0.0038721561431884766,0.0
Gaussian,sigma = 2.5,086,0,19.50424307497108,30.857358742338175,0.8085160526922268,0.0038399696350097656,0.0
Gaussian,sigma = 2.5,087,0,24.895888881036914,32.838450292834615,0.8593156835805096,0.0040628910064697266,2.5
Gaussian,sigma = 2.5,088,0,19.465392822639483,34.9117461883261,0.8197681884813867,0.004296064376831055,0.484375
Gaussian,sigma = 2.5,089,0,20.873764624621547,32.636905041975794,0.8390694711190285,0.004420757293701172,1.96875
Gaussian,sigma = 2.5,090,0,27.65146523417716,36.10531041752161,0.8434622339086234,0.004333019256591797,1.90625
Gaussian,sigma = 2.5,091,0,23.685921955814248,32.80337221577188,0.7522592448098505,0.0042188167572021484,0.0
Gaussian,sigma = 2.5,092,0,21.98118159201733,31.111348703645824,0.7830657801336527,0.004210948944091797,0.0
Gaussian,sigma = 2.5,093,0,20.330006664384296,32.833705345492554,0.7977304380936769,0.004129171371459961,1.90625
Gaussian,sigma = 2.5,094,0,25.56398131493737,34.513135128266946,0.8486706918742563,0.004175901412963867,0.046875
Gaussian,sigma = 2.5,095,0,21.53416238597152,32.60969270354674,0.81994348277051,0.0040318965911865234,0.0
Gaussian,sigma = 2.5,096,0,23.84741744968428,32.103800306465054,0.802404528994983,0.0040340423583984375,0.0
Gaussian,sigma = 2.5,097,0,26.55545234047821,33.71053159510022,0.8682091552516491,0.00432586669921875,1.9375
Gaussian,sigma = 2.5,098,0,20.980605904031208,33.8440402453217,0.8505768405393709,0.004236936569213867,0.0
Gaussian,sigma = 2.5,099,0,25.796750077454327,33.01720871391068,0.8504501021780837,0.0042378902435302734,0.0
Gaussian,sigma = 2.5,100,0,23.388879311631698,31.094745016800005,0.7753338209901784,0.0043179988861083984,2.421875
Gaussian,sigma = 2.5,101,0,21.24493696450174,29.55298838006489,0.7379230836117379,0.00444793701171875,1.96875
Gaussian,sigma = 2.5,102,0,21.34697586410202,34.91783897771169,0.8601567441866858,0.004224061965942383,2.453125
Gaussian,sigma = 2.5,103,0,27.838223462492778,35.70642564353638,0.787650900707566,0.0041751861572265625,0.5
Gaussian,sigma = 2.5,104,0,24.444062296898025,33.49134888323119,0.8306651111805904,0.005363941192626953,2.9375
Gaussian,sigma = 2.5,105,0,23.194821509517247,34.13400963864314,0.8350969323846703,0.0046961307525634766,1.984375
Gaussian,sigma = 2.5,106,0,21.0875088439074,31.982374647925692,0.7918123459282329,0.003960132598876953,0.0
Gaussian,sigma = 2.5,107,0,28.97576811958295,34.082139864784835,0.8331201079554328,0.004464864730834961,2.40625
Gaussian,sigma = 2.5,108,0,21.54866306272799,33.74190525969483,0.8296950965821546,0.005185127258300781,1.953125
Gaussian,sigma = 2.5,109,0,24.299561591102066,34.5616419847481,0.8401550752782171,0.004311800003051758,2.25
Gaussian,sigma = 2.5,110,0,23.492092098935316,33.41805283143388,0.8340786109266193,0.004194021224975586,2.5
Gaussian,sigma = 2.5,111,0,26.607260098986604,34.25061501366511,0.7997113431157549,0.004249095916748047,0.0
Gaussian,sigma = 2.5,112,0,29.104779646604587,36.29313889410678,0.848806043420685,0.004326343536376953,2.40625
Gaussian,sigma = 2.5,113,0,23.844283540733,33.44507663271602,0.8474706859242143,0.004408121109008789,2.0
Gaussian,sigma = 2.5,114,0,24.325149493461087,33.05827305718318,0.7977882851975492,0.004496097564697266,2.515625
Gaussian,sigma = 2.5,115,0,25.99380517976339,35.15743571577639,0.829344334753528,0.003869771957397461,0.0
Gaussian,sigma = 2.5,116,0,24.33064979519149,32.74197672793307,0.7895050181974594,0.004098176956176758,2.5
Gaussian,sigma = 2.5,117,0,25.736432134507844,34.98084504595984,0.8124375025652497,0.0042819976806640625,1.984375
Gaussian,sigma = 2.5,118,0,19.530598325768562,32.64017566583547,0.7979000045616513,0.003871917724609375,2.453125
Gaussian,sigma = 2.5,119,0,23.335453039232938,32.85572148207352,0.8321821228130462,0.008136987686157227,2.453125
Gaussian,sigma = 2.5,120,0,21.36533363056237,31.56160433546323,0.8311828862293293,0.0039539337158203125,1.96875
Gaussian,sigma = 3,001,0,20.2189541163634,31.123759498431212,0.7808125740934639,0.00432896614074707,2.546875
Gaussian,sigma = 3,002,0,27.072398087349313,37.48033184654239,0.8070748037574097,0.0045909881591796875,2.21875
Gaussian,sigma = 3,003,0,26.694858726745373,35.17378088332613,0.8497240551220626,0.004453182220458984,0.046875
Gaussian,sigma = 3,004,0,24.796792890921854,36.37033653800528,0.8784925934742748,0.00437617301940918,0.0
