DenoiserType,Parameter,ImageIndex,Channel,PSNR,SI-PSNR,SSIM,Runtime,RAM Usage
Wavelet,Default parameters,001,0,20.263982571061085,21.834219222858245,0.5703714613571887,0.06989383697509766,18.703125
Wavelet,Default parameters,002,0,24.853668644784342,27.268312596761348,0.6648624728672754,0.008121967315673828,10.328125
Wavelet,Default parameters,003,0,24.716213870339253,28.498981171090318,0.7589384667213088,0.008033037185668945,2.3125
Wavelet,Default parameters,004,0,23.262716773247117,26.663493312555993,0.7328206770637984,0.007969141006469727,2.8125
Wavelet,Default parameters,005,0,22.076358165179386,25.300100462619497,0.6918507088741738,0.008827924728393555,8.453125
Wavelet,Default parameters,006,0,21.72792526289254,22.993891776317056,0.5372302992706915,0.008665800094604492,6.359375
Wavelet,Default parameters,007,0,21.40407203823489,23.848579658649047,0.6560150762277087,0.009166717529296875,0.21875
Wavelet,Default parameters,008,0,18.8902862306276,22.361929087381473,0.587561105172958,0.009261846542358398,3.984375
Wavelet,Default parameters,009,0,21.68576115708069,22.88075773861449,0.5615606046002392,0.008275032043457031,7.6875
Wavelet,Default parameters,010,0,13.134883425259915,19.61487374089041,0.07271628456187779,0.008127927780151367,0.0
Wavelet,Default parameters,011,0,20.783820044957977,23.35499547927228,0.6141749852232102,0.008967876434326172,4.6875
Wavelet,Default parameters,012,0,20.907904487477772,23.67918052738431,0.5923840749157944,0.008520364761352539,6.671875
Wavelet,Default parameters,013,0,18.690649268459524,22.707700827667942,0.5706889313177347,0.008538007736206055,5.421875
Wavelet,Default parameters,014,0,19.779372883439528,22.308829291560386,0.5993529377974606,0.009177207946777344,3.140625
Wavelet,Default parameters,015,0,22.122373876098678,23.85717306252294,0.6453664238741343,0.008347034454345703,4.140625
Wavelet,Default parameters,016,0,17.72344171705185,21.911220155363573,0.5964505767599304,0.008288145065307617,6.5
Wavelet,Default parameters,017,0,17.5269873250049,20.39845395780982,0.5744929765645097,0.008157968521118164,4.046875
Wavelet,Default parameters,018,0,23.491188771850737,26.238831696853183,0.6833793439486199,0.010284662246704102,2.421875
Wavelet,Default parameters,019,0,23.836801821774337,25.021411840970696,0.6145038973554958,0.010378837585449219,5.0
Wavelet,Default parameters,020,0,18.652414635606156,20.80876949969761,0.5325680679481107,0.011477947235107422,9.171875
Wavelet,Default parameters,021,0,18.89808229418811,20.339165508520992,0.4922240383248517,0.012504100799560547,6.359375
Wavelet,Default parameters,022,0,22.787658583846692,25.169222868946406,0.5778637815102632,0.012029886245727539,8.75
Wavelet,Default parameters,023,0,24.04109338051199,25.210825242026957,0.5913607284863788,0.011055707931518555,8.109375
Wavelet,Default parameters,024,0,20.079889325896744,22.696424635886096,0.610490047027264,0.01230001449584961,11.09375
Wavelet,Default parameters,025,0,25.746152349228133,26.513377568575454,0.6624984033456508,0.010836124420166016,8.8125
Wavelet,Default parameters,026,0,23.830399843324823,26.62701350756773,0.6591212408680737,0.0092620849609375,9.890625
Wavelet,Default parameters,027,0,25.798410522604396,27.966566524477546,0.6980588527748115,0.008079767227172852,4.953125
Wavelet,Default parameters,028,0,23.976823431817586,25.6331654959247,0.5896761028395445,0.008466958999633789,8.140625
Wavelet,Default parameters,029,0,21.50404841661598,23.1262802525613,0.5602830424537121,0.00813913345336914,2.34375
Wavelet,Default parameters,030,0,23.538768801406636,25.53649487663168,0.6391102708244256,0.008265972137451172,8.140625
Wavelet,Default parameters,031,0,27.027761512268746,29.03680203441666,0.7382510304042478,0.008376121520996094,2.046875
Wavelet,Default parameters,032,0,21.607010062810446,25.416124468943444,0.6735877399390822,0.008856773376464844,8.796875
Wavelet,Default parameters,033,0,25.207966877011025,28.395629879754956,0.7246954365728215,0.008371114730834961,4.453125
Wavelet,Default parameters,034,0,22.011946085824903,23.55249680651871,0.5581154804348466,0.008607149124145508,6.5
Wavelet,Default parameters,035,0,24.255854781673044,27.77037263859837,0.6923481010956815,0.008197307586669922,8.53125
Wavelet,Default parameters,036,0,25.605835242647252,27.030087448297554,0.6743284458604178,0.007819890975952148,9.203125
Wavelet,Default parameters,037,0,24.173701717651205,26.147200074605465,0.6591125425242589,0.00814676284790039,0.015625
Wavelet,Default parameters,038,0,34.22849269016508,34.54891017673175,0.7986443687760824,0.008753061294555664,4.828125
Wavelet,Default parameters,039,0,21.159820379329503,26.216149124361966,0.7117997316690845,0.008463859558105469,0.0
Wavelet,Default parameters,040,0,25.662265449190585,27.904058222031516,0.7483626072362473,0.008608102798461914,8.5625
Wavelet,Default parameters,041,0,21.459492217265215,24.95869612665039,0.655134871341811,0.008516073226928711,6.5
Wavelet,Default parameters,042,0,25.653040674163535,26.75993350229209,0.705612642538635,0.008626222610473633,6.8125
Wavelet,Default parameters,043,0,23.130404415940326,26.175511950458848,0.6563565913462213,0.008591890335083008,8.78125
Wavelet,Default parameters,044,0,25.804308738619714,27.568396009746156,0.6888772351687379,0.008717060089111328,7.0625
Wavelet,Default parameters,045,0,21.048897660744363,23.42079970392245,0.6184462286074952,0.008494853973388672,8.421875
Wavelet,Default parameters,046,0,20.24721151036129,22.617873932246766,0.6245113381285882,0.008919715881347656,6.375
Wavelet,Default parameters,047,0,25.867368291289218,26.611475802545588,0.5493768940199768,0.008689165115356445,1.0
Wavelet,Default parameters,048,0,26.689774540450493,29.73774372221348,0.7462951837821818,0.008701801300048828,3.46875
Wavelet,Default parameters,049,0,24.073059496485246,25.39769182860126,0.5972950049188483,0.008894920349121094,6.53125
