DenoiserType,Parameter,Channel,PSNR,SSIM,Runtime,RAM Usage
Gaussian,sigma=2.5,0,33.6905558254186,0.9368659209559234,0.0032924413681030273,0.7734375
Gaussian,sigma=2.5,1,35.882626870077814,0.893293505695042,0.0032265186309814453,0.34375
Gaussian,sigma=2.5,2,34.33255325085808,0.882876296077999,0.0031363964080810547,0.515625
Gaussian,sigma=3,0,32.24788794254129,0.9350914896716112,0.003865838050842285,0.5234375
Gaussian,sigma=3,1,34.242443819283864,0.8945802728777532,0.0037496089935302734,0.2578125
Gaussian,sigma=3,2,34.048649341733906,0.9025599141162546,0.003533601760864258,0.2578125
Gaussian,sigma=3.5,0,32.99525658556174,0.9277129548980441,0.0040323734283447266,0.046875
Gaussian,sigma=3.5,1,33.930122747320866,0.8904093596765736,0.004360556602478027,0.5078125
Gaussian,sigma=3.5,2,35.94576376860033,0.9128340952680114,0.0041544437408447266,0.4921875
Median,size=10,0,29.921356551536373,0.9180960090832697,0.2797260284423828,0.359375
Median,size=10,1,33.17473560267075,0.8626274313027054,0.3058096170425415,0.3203125
Median,size=10,2,33.0565557314166,0.8592256082429742,0.28980016708374023,0.359375
Median,size=5,0,30.48331963504541,0.8841632099743122,0.08539199829101562,-9.734375
Median,size=5,1,31.983767752108818,0.7927953702139787,0.0885305404663086,0.0078125
Median,size=5,2,29.70319540108948,0.6781338888048702,0.08525753021240234,0.671875
Median,size=8,0,32.49002866052877,0.9213010370738266,0.18927299976348877,0.015625
Median,size=8,1,32.182612338793646,0.8520450869699383,0.19391250610351562,0.0
Median,size=8,2,31.96680336279357,0.8193067917526152,0.1970604658126831,0.0390625
